accounting_office_cvr,accounting_office_name,declarations,audits,reviews,extended_reviews,assistance,other_types,class_b,class_b_assistance,class_b_extended_reviews,class_b_audits,class_b_reviews,class_other,addressable_annual_reports,auditors_with_mne,source_names
40844899,Solveo Statsautoriseret Revisionspartnerselskab,200,0,0,54,146,0,200,146,54,0,0,0,200,3,Solveo Statsautoriseret Revisionspartnerselskab
32789153,Leth & Partnere,198,12,0,18,168,0,198,168,18,12,0,0,186,2,Leth & Partnere
35235892,Nem Revisor ApS,197,12,0,96,87,2,197,87,96,12,0,0,183,2,Nem Revisor ApS
38980149,Regnskabsfabrikanten,196,0,0,43,152,1,196,152,43,0,0,0,195,2,Regnskabsfabrikanten
26812372,Revisioncentret Tønder/Skærbæk,195,17,0,44,134,0,195,134,44,17,0,0,178,2,Revisioncentret Tønder/Skærbæk
31782139,CKF Revision ApS Godkendt revisionsfirma,193,0,0,52,141,0,193,141,52,0,0,0,193,1,CKF Revision ApS Godkendt revisionsfirma
14795707,Dansk Revision Brønderslev,191,10,0,25,156,0,191,156,25,10,0,0,181,1,Dansk Revision Brønderslev
14327746,BJ Regnskab,190,25,0,55,108,2,188,108,55,24,0,1,163,2,BJ Regnskab
28902867,Revision- og Regnskabskontoret,189,38,0,22,129,0,188,129,22,37,0,1,151,2,Revision- og Regnskabskontoret
32469345,Schyberg Lykke Registreret Revisionsanpartsselskab,188,3,0,43,142,0,188,142,43,3,0,0,185,2,Schyberg Lykke Registreret Revisionsanpartsselskab
31061741,Mazars Statsautoriseret Revisionspartnerselskab,188,111,0,27,43,7,154,43,27,84,0,27,70,7,Mazars Statsautoriseret Revisionspartnerselskab
39164388,Helledie Revision,186,14,0,26,146,0,186,146,26,14,0,0,172,1,Helledie Revision
11790577,Kappelskov Revision,185,7,0,36,142,0,185,142,36,7,0,0,178,3,Kappelskov Revision
35071199,Revisorgruppen v/Eva Kristensen og Lars Gotfredsen,182,19,1,27,135,0,182,135,27,19,1,0,162,3,Revisorgruppen v/Eva Kristensen og Lars Gotfredsen
29168504,TT REVISION,181,7,0,63,111,0,179,111,63,5,0,2,174,4,TT REVISION
31885191,Bjarke Kjær,181,2,0,33,146,0,181,146,33,2,0,0,179,1,Bjarke Kjær
41657332,Bro Søndergaard Statsautoriseret Revisionsanpartsselskab,180,34,9,57,80,0,179,80,57,33,9,1,137,1,Bro Søndergaard Statsautoriseret Revisionsanpartsselskab
37029815,Revidata,179,42,0,26,111,0,177,111,26,40,0,2,137,1,Revidata
54472455,Revisor Finn Erik Rasmussen,177,0,0,0,177,0,177,177,0,0,0,0,177,1,Revisor Finn Erik Rasmussen
38140515,HJ Revision ApS,177,0,0,0,177,0,177,177,0,0,0,0,177,1,HJ Revision ApS
44984326,Slebo Revision Statsautoriseret Revisionsanpartsselskab,175,12,1,81,79,2,172,79,81,11,1,1,160,2,Slebo Revision Statsautoriseret Revisionsanpartsselskab
18587246,RevisorGruppen v/Lilly Jeppesen,174,11,0,48,115,0,174,115,48,11,0,0,163,1,RevisorGruppen v/Lilly Jeppesen
37858498,Bornholms Revision,173,38,0,69,66,0,165,66,69,30,0,8,135,3,Bornholms Revision
36493372,RevisionsCentrum,173,0,0,22,151,0,173,151,22,0,0,0,173,1,RevisionsCentrum
68497817,Møller-Jensen Statsautoriseret Revisionsanpartsselskab,171,5,0,54,112,0,170,112,54,4,0,1,166,1,Møller-Jensen Statsautoriseret Revisionsanpartsselskab
27335616,Revisorerne Bastian og Krause,170,26,0,20,124,0,170,124,20,26,0,0,144,1,Revisorerne Bastian og Krause
17169483,Revsbæk Revision,170,3,2,42,116,7,163,116,42,3,2,0,158,1,Revsbæk Revision
26632315,Intension,165,1,0,37,127,0,164,126,37,1,0,1,163,2,Intension
41109483,Abrahamsen Revision,164,3,0,27,134,0,164,134,27,3,0,0,161,1,Abrahamsen Revision
30869052,velas I/S,164,0,1,53,110,0,164,110,53,0,1,0,163,6,velas I/S
21356190,Prima Revision,162,2,0,20,140,0,162,140,20,2,0,0,160,2,Prima Revision
45086607,eRevision Statsautoriseret Revisionsanpartsselskab,162,0,0,16,146,0,162,146,16,0,0,0,162,1,eRevision Statsautoriseret Revisionsanpartsselskab
21111511,Kolding Herreds Landbrugsforening,162,11,0,30,121,0,161,121,30,10,0,1,151,4,Kolding Herreds Landbrugsforening
