accounting_office,accounting_office_cvr,declaration_count
Dansk Revision Skive,25172795,150
Dansk Revision Slagelse,29919801,540
Dansk Revision Søborg,14649905,540
Dansk Revision Sønderborg,30816471,158
Dansk Revision Tønder,33219229,112
Dansk Revision Viborg,20336390,360
Dansk Revision Wulff & Haaning,36920289,229
Dask Gruppen,13889686,0
DataBalance,32983618,3
Datarevision FRR,54504055,0
DAVS,25319435,0
De Små Revisorer ApS,41583479,0
Deko Rådgivning ApS,44387255,0
Deloitte,24213714,0
Deloitte,33963556,2566
Delta Administration,13850232,13
Din Revisor,35407359,219
Din Revisor Amager ApS Godkendte revisorer,44396033,35
Din Revisor Svaneke ApS Godkendte revisorer,45016501,153
Dissing Revision,42395358,0
Djurs Revision,19713830,41
DK Ejendomsadministration & Ejendomsservice ApS,36728027,1
DLBR Revision,32451195,68
DM Revision,14569391,121
"DM Revisionsfirma af 1993, Registreret Revisionsanpartsselskab",39473321,42
Døssing & Partnere,54879911,0
DP Hillerød P/S,42491748,7
DR af 15. august 2016,75938713,0
DR Revision,36479760,20
DSH-Revision,19674193,155
"Dueholm & Partnere, Godkendt Revisionshus",21631930,163
Dupont Revision,26563976,15
Dupont Revision & Rådgivning,26887801,25
DVU,21860506,42
EBK Smørum ApS,43487469,2
EC Økonomi og regnskab,35926585,5
ECO Revision,35891986,92
Ecomentor,26063221,0
Eco-Team,27966675,422
Ecovis Danmark,28939523,160
Egedal Revision,38035169,0
Egelund Revision,20474882,20
Egon Pedersen Revision,88248228,44
Egtved Revisionskontor,27910165,52
EKL Revision,30175859,0
Elisabeth Jessen,11113575,0
Elite-Revision,25477367,26
Ellebæk Revision,26287030,0
Ellebæk Revision godkendt revisionsanpartsselskab,43325000,70
Elley Revision,10938694,3
EMV,35865136,21
EN Frederikshavn,16009644,0
Engelsted Petersen,20658231,0
ERC Revision,34205078,0
eRevision Statsautoriseret Revisionsanpartsselskab,45086607,125
E-Revisor.com,36412143,174
Erhvervs Consult ApS,35868828,56
Erhvervsrevisorerne i Vejle,26273110,97
ERM Horsens,33501188,0
ESSET,27288537,3
Exacta Gruppen,33359128,1
EXACTA REGNSKAB ApS,25914481,0
Exacta Revision ApS,24224724,0
Exante Revision,70694611,0
Excell Revision,32428932,12
EY,30700228,2173
EY,33946171,0
EY,35683194,0
Eybye Invest,27527027,27
F I Revision,12576986,39
F.J. Revision,76534268,22
FC regnskab,36971339,0
FER Fyns Erhvervsrevision,21447587,140
Fetterlein,36081848,31
Fidura Statsautoriseret Revisionsanpartsselskab,45740986,14
Finansion v/ revisor Jens Møller,41418737,0
Firat Group,21617881,0
Fischer & Kragh ApS,38392867,0
FJH Revision,18165406,0
FKS Revision,26306175,131
Flemming Johannsen,31095018,0
FN Revision,29747792,8
Fokusrevision.dk,26996430,0
FP Revision,37381136,0
Funder & Henriksen,29628777,2
Furesø Revision,27969933,3
Fynbo Revision,19706974,63
G2 Revision,32285538,0
GBH Revision & Rådgivning,17610430,206
GE Revision & Rådgivning,25187091,39
Gilfelt Revision,28108303,107
gills-economics,39325608,0
GLB Revision,30821963,0
Global Revision,28121717,1
Glud&Ko,31811694,0
GoAudit,37205907,29
Grant Thornton,34209936,6130
Greve Strands Revision,52992753,56
Grønborg Revision,75076118,39
Gronemanns,32563627,80
