accounting_office_name,accounting_office_cvr,total_declarations,total_analyses,adoption_score,untapped_potential,potential_at_10_percent,potential_at_20_percent,potential_at_30_percent
Mazars Statsautoriseret Revisionspartnerselskab,31061741,162,0,0.000000,162,16,32,49
RevisionsCentrum,36493372,162,0,0.000000,162,16,32,49
Revsbæk Revision,17169483,162,0,0.000000,162,16,32,49
Revision- og Regnskabskontoret,28902867,160,0,0.000000,160,16,32,48
Gilfelt Revision,28108303,159,0,0.000000,159,16,32,48
Prima Revision,21356190,159,0,0.000000,159,16,32,48
Landbrugsrådgivning Syd,30719131,158,0,0.000000,158,16,32,47
J H Regnskab v/Jan Ekmann Hørsel,20415991,156,0,0.000000,156,16,31,47
ReviNord,16347299,156,0,0.000000,156,16,31,47
Revisionsfirmaet Ivan Kjeldsen,30613791,156,0,0.000000,156,16,31,47
Statsaut. Revisor J Løbner,29538565,156,0,0.000000,156,16,31,47
Revisionsfirmaet Woiremose & Partner,25735560,155,0,0.000000,155,16,31,46
DM Revision,14569391,154,0,0.000000,154,15,31,46
Revisorkompagniet,34045607,154,0,0.000000,154,15,31,46
Plus Revision,20452897,151,0,0.000000,151,15,30,45
Harboe og B.,33649452,150,0,0.000000,150,15,30,45
Revisionsfirmaet Tommy Larsen,98727558,150,0,0.000000,150,15,30,45
Lerfeldt Revision,20142146,149,0,0.000000,149,15,30,45
Slebo Revision Statsautoriseret Revisionsanpartsselskab,44984326,149,0,0.000000,149,15,30,45
Abrahamsen Revision,41109483,148,0,0.000000,148,15,30,44
Revisionscentret 5R Esbjerg,26279534,148,0,0.000000,148,15,30,44
Buch&Nørgaard,71344517,147,0,0.000000,147,15,29,44
FKS Revision,26306175,146,0,0.000000,146,15,29,44
"JHL Revision, Esbjerg",40052992,146,0,0.000000,146,15,29,44
Revisionsfirmaet Jan Kristensen,35383646,144,0,0.000000,144,14,29,43
Erhvervsrevisorerne i Vejle,26273110,141,0,0.000000,141,14,28,42
Revisionsfirmaet Christian Danielsen,16953199,141,0,0.000000,141,14,28,42
Revisionskontoret i Faxe,16609331,140,0,0.000000,140,14,28,42
ABL Revision,39702215,139,0,0.000000,139,14,28,42
Vestjysk Landboforening,25076079,139,0,0.000000,139,14,28,42
Revisionsfirmaet Gutfelt,13254192,142,5,0.035211,137,14,28,43
velas I/S,30869052,136,0,0.000000,136,14,27,41
eRevision Statsautoriseret Revisionsanpartsselskab,45086607,134,0,0.000000,134,13,27,40
RN - Revision Nordjylland,28966571,134,0,0.000000,134,13,27,40
Jørn m. Schmidt Statsautoriseret Revisionsanpartsselskab,28309724,133,0,0.000000,133,13,27,40
Vedbæk Revision,14262172,133,0,0.000000,133,13,27,40
Jysk Revision og Rådgivning ApS,43573810,130,0,0.000000,130,13,26,39
Nyborg Erhvervsrevision,30546792,128,0,0.000000,128,13,26,38
Plan Revision v/Per Petersen,12322143,127,0,0.000000,127,13,25,38
Kolding Herreds Landbrugsforening,21111511,126,0,0.000000,126,13,25,38
MP Revision,14119507,123,0,0.000000,123,12,25,37
RND Partner,27492487,119,0,0.000000,119,12,24,36
Dansk Revision Tønder,33219229,118,0,0.000000,118,12,24,35
Asla Revision,28483902,117,0,0.000000,117,12,23,35
Revisionsfirmaet Flemming Hansen,15270144,117,0,0.000000,117,12,23,35
2A Revision,37903949,116,0,0.000000,116,12,23,35
Revisionscentret Haderslev,13976295,116,0,0.000000,116,12,23,35
Revisionsfirmaet Svend Dørffer,15659777,114,0,0.000000,114,11,23,34
Grønlands Revision Godkendt Revisionspartnerselskab,46201515,113,0,0.000000,113,11,23,34
MN Revision og Rådgivning,30318269,113,0,0.000000,113,11,23,34
Tranberg,26063655,113,0,0.000000,113,11,23,34
Kjær Revision,37984558,112,0,0.000000,112,11,22,34
Kongevejens Revision,25273621,111,0,0.000000,111,11,22,33
Nexø Revision A/S,41998407,111,0,0.000000,111,11,22,33
Ostenfeld Revision,36071281,109,0,0.000000,109,11,22,33
Revisionsfirmaet Mentor,28136196,108,0,0.000000,108,11,22,32
CURA Revision,34330042,106,0,0.000000,106,11,21,32
Revisionsfirmaet Erik Hultquist,15396105,106,0,0.000000,106,11,21,32
REVISION THY Registreret Revisionsanpartsselskab,42825379,105,0,0.000000,105,10,21,32
Damgaard Revision,33074441,103,0,0.000000,103,10,21,31
Krydsrevision,38225804,103,0,0.000000,103,10,21,31
Momentum Revision,35238050,103,0,0.000000,103,10,21,31
Revisorgården i Odense,14335102,103,0,0.000000,103,10,21,31
TANGSTAD - STATSAUTORISERET REVISIONSANPARTSSELSKAB,43661434,103,0,0.000000,103,10,21,31
Lemvigegnens Landboforening,41503610,101,0,0.000000,101,10,20,30
"Bornhøft & Lindemann, Registreret Revisionsanpartsselskab",41672625,99,0,0.000000,99,10,20,30
ARIES,26454123,96,0,0.000000,96,10,19,29
Revisionsfimaet W. Bach Nørgaard,18192195,96,0,0.000000,96,10,19,29
Revisionsfirmaet Lars Bastholm,36696486,96,0,0.000000,96,10,19,29
"Vibs Revision, registreret revisor ApS",39130335,96,0,0.000000,96,10,19,29
Ellebæk Revision godkendt revisionsanpartsselskab,43325000,106,11,0.103774,95,11,21,32
Agerbor Gruppen,31742781,95,0,0.000000,95,10,19,28
Kvist Revision ApS,38818724,95,0,0.000000,95,10,19,28
Rödl & Partner Danmark,39188678,95,0,0.000000,95,10,19,28
MTMLB,36909935,94,0,0.000000,94,9,19,28
PN Revision,37522945,93,0,0.000000,93,9,19,28
Revfirma Georg Mathiasen,72430816,93,0,0.000000,93,9,19,28
Team Revision,29423989,93,0,0.000000,93,9,19,28
ECO Revision,35891986,92,0,0.000000,92,9,18,28
THN Revision,32500145,92,0,0.000000,92,9,18,28
Gronemanns,32563627,91,0,0.000000,91,9,18,27
Centrum Revision V/Kurt Håkonsson,17037307,89,0,0.000000,89,9,18,27
Østdansk Landboforening,20835400,89,0,0.000000,89,9,18,27
Revisionsfirmaet Evan Klarholt,10686504,89,0,0.000000,89,9,18,27
Revisionsfirmaet Jørgen Larsen I/S,14678085,89,0,0.000000,89,9,18,27
Schmidt Revision,29529507,89,0,0.000000,89,9,18,27
Revision Ryttergaarden,36908114,88,0,0.000000,88,9,18,26
Realvision,18216833,86,0,0.000000,86,9,17,26
Høffner Revision,76637415,85,0,0.000000,85,8,17,26
DanRevision Statsautoriseret Revisionsanpartsselskab,41552204,84,0,0.000000,84,8,17,25
Andersen & Novakovic statsautoriseret revisionsanpartsselskab,44535122,83,0,0.000000,83,8,17,25
"Grønlands Revision A/S, statsautoriserede revisorer",41762667,83,0,0.000000,83,8,17,25
Lejenregnskabschef.dk,30563670,83,0,0.000000,83,8,17,25
ONreVISION,33043163,83,0,0.000000,83,8,17,25
Revisionsfirmaet Hartvig & Aalund,11157203,83,0,0.000000,83,8,17,25
Revisorhuset Halsnæs,20572043,83,0,0.000000,83,8,17,25
Aage & Povl Holm,14759840,80,0,0.000000,80,8,16,24
Vendelbo,10110807,78,0,0.000000,78,8,16,23
Revision Hatting,13737096,77,0,0.000000,77,8,15,23
Andersen og Partnere,26668840,76,0,0.000000,76,8,15,23
Møller & Madsen,30835654,76,0,0.000000,76,8,15,23
Revisionsfirmaet Hanne og Erling Lund,35143114,75,0,0.000000,75,8,15,22
Revisto I/S,26730597,75,0,0.000000,75,8,15,22
HE Revision,29404992,72,0,0.000000,72,7,14,22
Juul & Blicher ApS,45395634,72,0,0.000000,72,7,14,22
Registreret Revisionsvirksomhed Nordskov Revision,30348184,70,0,0.000000,70,7,14,21
ReviØst,21164577,70,0,0.000000,70,7,14,21
Revisionsfirmaet Jørgen Gilling,18619407,70,0,0.000000,70,7,14,21
Fynbo Revision,19706974,69,0,0.000000,69,7,14,21
Revisionsfirmaet Peder Albertsen,18743396,69,0,0.000000,69,7,14,21
Egon Pedersen Revision,88248228,68,0,0.000000,68,7,14,20
Nordisk Revision Godkendt Revisionsanpartsselskab,41835303,68,0,0.000000,68,7,14,20
Revisionsfirmaet Kirch Andersen,18288389,68,0,0.000000,68,7,14,20
Råd & Revision,25593995,67,0,0.000000,67,7,13,20
Lars P Revision,33225172,66,0,0.000000,66,7,13,20
Revision 1-2-3,10632684,66,0,0.000000,66,7,13,20
Erhvervs Consult ApS,35868828,65,0,0.000000,65,6,13,20
Nordmors Revision v/Peter Djernes,19941442,65,0,0.000000,65,6,13,20
Unik-Revision,17128973,65,0,0.000000,65,6,13,20
AB-Revision,26624479,64,0,0.000000,64,6,13,19
Revision Nord,16145084,63,0,0.000000,63,6,13,19
"Lorentzen & Partners, Statsautoriserede Revisorer ApS",45328988,62,0,0.000000,62,6,12,19
Johnny Hansen Registreret Revisionsanpartsselskab,16933503,61,0,0.000000,61,6,12,18
Kolding Erhvervsservice,30817222,61,0,0.000000,61,6,12,18
Greve Strands Revision,52992753,60,0,0.000000,60,6,12,18
LD&C Statsautoriseret Revisionsanpartsselskab,46080041,60,0,0.000000,60,6,12,18
DVU,21860506,59,0,0.000000,59,6,12,18
Egtved Revisionskontor,27910165,59,0,0.000000,59,6,12,18
2TalRevision v/Jan Christensen,20935790,58,0,0.000000,58,6,12,17
MS Revision ApS,40032622,58,0,0.000000,58,6,12,17
RB Revision,21706833,58,0,0.000000,58,6,12,17
Revision 1,91259850,58,0,0.000000,58,6,12,17
Sydvestjysk Revision ApS Godkendt Revisionsselskab,42044040,58,0,0.000000,58,6,12,17
TK Revision,30201795,58,0,0.000000,58,6,12,17
Djurs Revision,19713830,57,0,0.000000,57,6,11,17
Patriotisk Selskab,61676228,57,0,0.000000,57,6,11,17
Registreret Revisor Per Obling,14913572,57,0,0.000000,57,6,11,17
2+ Revision Grønland Statsautoriserede Revisorer ApS,42793744,56,0,0.000000,56,6,11,17
"DM Revisionsfirma af 1993, Registreret Revisionsanpartsselskab",39473321,56,0,0.000000,56,6,11,17
LJ Revision,28284160,56,0,0.000000,56,6,11,17
Registreret Revisionsanpartsselskab Flemming Juhl Nielsen,14135308,56,0,0.000000,56,6,11,17
Revisionsfirmaet Kim Jacobsen,36065346,56,0,0.000000,56,6,11,17
Revisionsfirmaet Søren Askly,39846144,56,0,0.000000,56,6,11,17
Revisionsfirmaet Revicon,12707789,55,0,0.000000,55,6,11,16
Alt i Regnskab & Rådgivning ApS,44405016,54,0,0.000000,54,5,11,16
Toldbodens Revision & Regnskab,12838840,54,0,0.000000,54,5,11,16
Revisionsfirmaet Torlund,31165571,53,0,0.000000,53,5,11,16
R3 Revision,33164076,52,0,0.000000,52,5,10,16
Skatteinform,35394206,52,0,0.000000,52,5,10,16
Lindholm Revision,38248677,51,0,0.000000,51,5,10,15
Revision Horsens,17275100,51,0,0.000000,51,5,10,15
S.J. Revision,25859138,51,0,0.000000,51,5,10,15
Thrane Consult,32090516,51,0,0.000000,51,5,10,15
Bisbjerg & Partners P/S,44742969,50,0,0.000000,50,5,10,15
Nørgaard Schultz Godkendt Revisionsanpartsselskab,43629379,50,0,0.000000,50,5,10,15
Revisionsfirmaet Peter Berg,21052302,50,0,0.000000,50,5,10,15
Søhøjlandets revision,31888026,50,0,0.000000,50,5,10,15
GE Revision & Rådgivning,25187091,49,0,0.000000,49,5,10,15
PRO REVISION STATSAUTORISERET ANPARTSSELSKAB,45150437,49,0,0.000000,49,5,10,15
CDO Revison,15897473,48,0,0.000000,48,5,10,14
JBC Revision v/Jørgen Christensen,25979907,48,0,0.000000,48,5,10,14
Luni Revisions Anpartsselskab,28970641,48,0,0.000000,48,5,10,14
MBL Revision,40375260,48,0,0.000000,48,5,10,14
RugaardRevision,29033609,48,0,0.000000,48,5,10,14
CTM Revision,33160364,47,0,0.000000,47,5,9,14
