mne,pub_month,antal,aktive
mne27866,12,30,0
mne32733,5,52,0
mne34109,4,11,0
mne23334,4,22,0
mne32840,7,13,0
mne34028,1,12,0
mne34331,2,10,0
mne24817,5,31,0
mne32727,6,68,0
mne9642,2,10,0
mne32372,6,81,0
mne34108,6,66,0
mne26733,7,48,3
mne36190,7,9,0
mne32728,12,11,0
mne50650,1,8,0
mne1122,2,8,0
mne18623,2,9,0
mne23279,6,40,0
mne34144,10,6,0
mne26771,4,37,0
mne28658,1,4,0
mne23318,3,40,0
mne35464,4,30,0
mne23310,2,10,0
mne34511,9,16,1
mne28683,7,31,0
mne15969,12,23,0
mne23334,12,15,0
mne31428,4,14,0
mne34103,2,63,0
mne34159,7,57,0
mne2896,11,13,0
mne36180,5,37,0
mne32129,7,57,0
mne27864,12,17,0
mne18257,9,1,0
mne34028,7,16,0
mne10734,1,18,0
mne27765,5,14,0
mne34140,4,16,0
mne36186,12,38,0
mne23183,7,34,0
mne52074,3,14,0
mne32783,9,10,0
mne40760,3,10,1
mne33212,4,57,0
mne28679,4,20,2
mne24721,6,115,0
mne32739,11,14,0
mne36190,4,57,0
mne21326,9,10,0
mne34332,4,18,0
mne31412,3,26,0
mne32199,6,159,0
mne32181,12,31,0
mne19688,3,17,0
mne47800,2,10,0
mne4502,6,74,0
mne28606,11,7,0
mne16029,5,38,0
mne28681,7,46,0
mne30176,4,91,0
mne28701,7,25,0
mne27765,6,56,0
mne32848,3,44,0
mne33209,6,132,0
mne27703,9,19,0
mne24824,6,51,0
mne34169,2,14,0
mne33211,4,18,0
mne33755,12,36,0
mne44151,10,5,0
mne27708,3,16,0
mne18225,1,4,0
mne34514,6,57,0
mne23328,4,2,0
mne35804,6,75,1
mne26714,10,16,0
mne34169,6,82,0
mne31463,9,8,0
mne26645,11,5,0
mne49108,6,28,0
mne34546,6,19,0
mne32792,11,18,0
mne49092,5,2,0
mne32772,5,12,0
mne28602,7,17,0
mne27741,5,16,0
mne32204,5,36,0
mne34088,11,20,0
mne12610,12,12,0
mne26734,9,17,0
mne494,6,6,0
mne34478,9,10,0
mne32775,6,24,0
mne31450,12,20,1
mne29379,6,30,0
mne17319,6,59,0
mne44140,12,4,0
mne33711,6,52,0
mne31399,6,71,0
mne25299,4,1,0
mne3844,12,13,0
mne33256,11,15,0
mne1828,12,4,0
mne26711,12,7,0
mne34506,7,55,0
mne16029,3,19,0
mne46610,7,37,0
mne27708,12,22,0
mne32727,3,21,0
mne45950,6,72,0
mne31400,1,10,0
mne33714,11,11,0
mne11194,4,12,0
mne34511,7,42,0
mne31481,5,41,0
mne18512,5,18,0
mne34316,10,29,0
mne23297,10,7,0
mne51058,11,4,0
mne32748,12,2,0
mne32133,12,20,0
mne40037,7,40,0
mne31428,5,15,0
mne33211,5,13,0
mne33683,3,9,0
mne48482,2,6,1
mne49105,3,10,0
mne29440,10,20,0
mne31400,6,63,1
mne17021,7,32,1
mne27765,7,21,0
mne32743,5,19,0
mne27701,4,18,0
mne31412,6,40,1
mne33225,12,21,0
mne17139,5,41,0
mne33262,6,39,0
mne45861,7,24,0
mne26846,3,3,0
mne34261,4,9,0
mne36188,2,8,0
mne26714,3,28,0
mne862,11,10,0
mne2573,2,9,1
mne27742,1,10,0
mne26645,12,14,0
mne35800,10,8,0
mne27864,9,13,0
mne30183,12,25,0
mne12488,12,24,0
mne34028,11,9,0
mne2564,7,21,0
mne15253,11,1,0
mne44109,12,16,0
mne48471,12,12,1
mne26812,4,1,0
mne34099,1,12,0
mne48473,12,20,0
Ukendt revisor,9,178,1
mne472,12,16,1
mne26762,3,21,0
mne36029,4,22,0
mne30183,6,113,1
mne34162,3,2,0
mne21427,5,37,0
mne33854,4,43,0
mne34332,6,48,1
mne1068,11,5,0
mne7491,2,4,0
mne33256,6,46,0
mne11588,10,6,0
mne18623,10,8,0
mne21334,5,18,0
mne30183,9,1,0
mne41307,5,23,0
mne44109,4,25,0
mne23334,9,7,0
mne167,7,6,0
mne32231,9,11,0
mne26713,7,18,0
mne28583,11,5,0
mne31429,9,13,0
mne32750,7,32,0
mne23293,9,11,0
mne33722,1,15,0
mne2386,11,4,0
mne2896,10,13,0
mne47822,5,25,0
mne27703,2,29,0
mne33225,3,31,0
mne35408,10,11,0
mne31450,4,38,0
mne28681,5,60,0
mne32848,5,47,0
mne27773,10,8,0
mne10954,3,2,0
mne8361,12,9,0
mne34505,5,20,0
mne3775,8,3,0
mne12510,11,6,0
mne35810,11,6,0
mne10157,5,2,0
mne31470,11,15,5
mne11061,3,9,0
mne24820,4,29,0
mne29444,3,15,0
mne33761,4,13,0
mne35802,6,41,0
mne16922,3,38,0
mne34298,9,8,0
mne51485,12,16,0
mne4502,10,3,1
mne33707,2,44,0
mne45893,6,33,0
mne32122,4,20,0
mne30151,5,6,0
mne29444,12,15,0
mne236,5,6,0
mne35391,6,69,0
mne41307,11,23,0
mne47791,6,85,1
mne18433,9,3,0
mne26753,4,26,0
mne34108,2,9,0
mne27703,12,39,0
mne36189,12,11,0
mne33195,1,5,0
mne34272,3,26,0
mne28662,7,9,0
mne34099,9,11,0
mne18617,6,51,1
mne27701,12,35,0
mne33197,3,7,0
mne47813,5,17,0
mne52091,3,6,0
mne15784,11,7,0
mne17319,12,17,0
mne24826,9,8,0
mne33770,12,36,0
mne33211,11,14,0
mne31397,11,11,1
mne11671,6,45,0
mne50702,7,6,0
mne34300,6,76,0
mne24824,4,11,0
mne23318,10,8,0
mne34278,12,21,0
mne27742,11,18,0
mne32735,9,11,0
mne45861,4,9,0
